模型,语种,样本数,BLEU分词器,BLEU,chrF++
Mango_MT,Russian（俄语）,1012,13a,23.33161335140362,48.29900433935665
Mango_MT,Indonesian（印尼语）,1012,13a,31.74615782779814,57.97368175347174
Mango_MT,Japanese（日语）,1012,ja-mecab,30.987573425484708,28.64464908228561
Mango_MT,French（法语）,1012,13a,33.82912326566844,57.32974703652188
Mango_MT,Thai（泰语）,1012,13a,10.522918325589934,42.83155119837875
Mango_MT,English（英语）,1012,13a,40.488572728411704,63.7805237655963
Mango_MT,Spanish（西语）,1012,13a,24.566590051314943,49.59906628216233
Mango_MT,Vietnamese（越南语）,1012,13a,34.226323741819414,53.549900367348826
Mango_MT,Arabic（阿语）,1012,13a,16.09845623758339,43.99014718701355
Mango_MT,Korean（韩语）,1012,ko-mecab,24.476200078773406,30.222363913101592
Mango_MT,Malay（马来语）,1012,13a,25.51722913064095,54.25436786137241
Mango_MT,宏平均,11132,,26.89006892404442,48.225000253328155
